TradeDate,000300.SH,399905.SZ,HSCEI.HI,NDX.GI,SPX.GI,GDAXI.GI,AU9999.SGE,TERGLU.FI,SPGOGUP.SPI,930849.CSI,H11008.CSI
2017/5/12,3385.3787,5863.7832,10282.65,5686.81,2390.9,12770.41,275.51,1720.839966,2623.15,151.3763,192.0161
2017/5/15,3399.1937,5893.5075,10450.35,5704.479,2402.32,12807.04,276.29,1724.300049,2651.99,151.6918,192.0236
2017/5/16,3428.6491,6014.7344,10433.69,5724.437,2400.67,12804.53,276.7,1717.630005,2653.19,151.6264,191.9374
2017/5/17,3409.9656,6027.6504,10383.14,5580.548,2357.03,12631.61,277.61,1723.23999,2629.65,151.6547,191.8677
2017/5/18,3398.1127,5976.2998,10271.35,5626.31,2365.72,12590.06,279.82,1728.599976,2606.64,151.8341,191.9329
2017/5/19,3403.8492,5974.9772,10267.39,5651.564,2381.73,12638.69,279.26,1735.410034,2643.53,151.8611,191.9487
2017/5/22,3411.2387,5888.8127,10374.32,5699.404,2394.02,12619.46,280,1742.72998,2644.46,151.6819,192.0201
2017/5/23,3424.194,5764.8759,10395.28,5703.346,2398.42,12659.15,281.4,1742.790039,2645.16,151.7181,192.0458
2017/5/24,3424.1669,5799.2499,10390.87,5730.301,2404.39,12642.87,278.5,1750.72998,2637.8,151.7961,192.0583
2017/5/25,3485.6581,5850.8006,10571.6,5778.375,2415.07,12621.72,279.75,1751.869995,2606.23,151.9392,192.0714
2017/5/26,3480.4345,5836.9338,10579.67,5788.359,2415.82,12602.18,280.35,1743.290039,2592.85,151.8846,192.113
2017/5/31,3492.8845,5824.1042,10602.97,5788.802,2411.8,12615.06,279,1741.099976,2551.08,151.9583,192.2673
2017/6/1,3497.7382,5709.9994,10619.88,5816.512,2430.06,12664.92,278.99,1749.400024,2560.79,152.109,192.2578
2017/6/2,3486.5074,5772.5174,10666.43,5881.458,2439.07,12822.94,278.16,1764.719971,2538.88,152.1571,192.3121
2017/6/5,3468.7538,5815.8022,10597.05,5878.117,2436.1,12822.94,281.87,1758.310059,2541.02,152.5357,192.3772
2017/6/6,3492.8816,5841.5232,10606.26,5856.769,2429.33,12690.12,283.2,1751.579956,2559.14,152.445,192.4122
2017/6/7,3533.8718,5955.0153,10611.46,5877.589,2433.14,12672.49,283.75,1762.849976,2527.7,152.3334,192.5003
2017/6/8,3560.9786,5958.977,10649.9,5885.296,2433.79,12713.58,282.7,1756.709961,2516.8,152.6304,192.5202
2017/6/9,3576.1703,5969.2741,10592.17,5741.944,2431.77,12815.72,279.72,1761.75,2553.31,152.7466,192.5936
2017/6/12,3574.3894,5902.8551,10485.85,5708.18,2429.39,12690.44,278.85,1774.390015,2563.54,153.0757,192.7243
2017/6/13,3582.2674,5980.0566,10525.74,5751.817,2440.35,12764.98,278.35,1781.969971,2583.12,153.3926,192.8961
2017/6/14,3535.2987,5966.4314,10514.91,5727.066,2437.92,12805.95,279.3,1791.75,2542.08,153.5414,193.127
2017/6/15,3528.7926,6021.1651,10346.15,5700.885,2432.46,12691.81,277.47,1791.47998,2508.76,153.8361,193.3076
2017/6/16,3518.7611,6012.9996,10384.89,5681.479,2433.15,12752.73,276.9,1792.02002,2541.25,153.7956,193.4271
